participant,block,trial,effect,order,distance,diag,config_1,config_2,h_1,w_1,h_2,w_2,h_3,w_3,choice,choice_name,rt,correct
10,1,96,filler_random,NA,NA,NA,2.1,2.12,80.24570372045636,195.28500946975038,130.96832539077974,93.80723363272745,114.42970331282258,117.3381190876932,2,NA,6.057503700256348,0
10,1,97,critical,dhw,45,upper,1,1.1,117,117,200,125,125,200,3,w,5.739057302474976,1
10,1,98,critical,hdw,45,upper,2.1,2.11,200,125,117,117,125,200,1,h,4.831408500671387,1
10,1,99,critical,wdh,60,lower,3,3.2,57,133,55,55,133,57,3,h,1.8246314525604248,1
10,1,100,catch,NA,NA,NA,4,4.1,68,122,164,161,62,128,2,NA,1.6335515975952148,1
10,1,101,critical,wdh,60,upper,2.1,2.12,125,200,100,100,200,125,3,h,3.530776023864746,1
10,1,102,filler_random,NA,NA,NA,3,3.2,113.57699391989892,96.81961248710596,148.43331135020856,85.06930095278716,60.619214006922654,155.2283581319678,2,NA,2.6200082302093506,1
10,1,103,critical,wdh,60,lower,1,1.3,57,133,55,55,133,57,3,h,4.597536325454712,1
10,1,104,critical,wdh,60,lower,2.1,2.11,57,133,55,55,133,57,3,h,1.2615408897399902,1
10,1,105,critical,dhw,45,upper,2.1,2.12,117,117,200,125,125,200,2,h,2.7224111557006836,1
10,1,106,critical,hdw,45,lower,2.1,2.12,133,57,65,65,57,133,1,h,2.1724298000335693,1
10,1,107,filler_random,NA,NA,NA,4,4.1,171.2009009957066,100.6010440317533,181.526374292934,59.07480023605104,80.71614303982717,124.29972053558396,1,NA,3.1806082725524902,1
10,1,108,critical,dhw,60,upper,1,1.2,100,100,200,125,125,200,2,h,6.722712516784668,1
10,1,109,filler_random,NA,NA,NA,4,4.2,95.76087617842546,65.13399499222402,161.39812176583803,149.9086938934817,163.6506384415669,196.2384906923323,3,NA,1.8663196563720703,1
10,1,110,critical,whd,60,upper,3,3.2,125,200,200,125,100,100,1,w,2.708453893661499,1
10,1,111,filler_random,NA,NA,NA,2.1,2.11,104.16217002533507,159.90518664361957,90.45810418423645,105.13986187743114,101.82717038975407,79.614210560769,1,NA,1.455183506011963,1
10,1,112,critical,hdw,60,upper,2.1,2.11,200,125,100,100,125,200,3,w,3.3114848136901855,1
10,1,113,critical,hdw,60,upper,3,3.2,200,125,100,100,125,200,3,w,1.814448356628418,1
10,1,114,critical,hwd,60,upper,1,1.2,200,125,125,200,100,100,2,w,2.4432356357574463,1
10,1,115,filler_square,NA,NA,NA,1,1.3,108.51760228889549,78.25517943341433,197.35946755891288,197.35946755891288,71.66557643794839,186.469432271141,2,NA,1.3002314567565918,1
10,1,116,filler_random,NA,NA,NA,2.2,2.22,125.26473883871014,129.19898875315755,144.48275681039644,168.029999543079,96.83868545031916,125.93738970588919,2,NA,1.1774044036865234,1
10,1,117,filler_square,NA,NA,NA,2.1,2.11,76.41858588275706,121.4321816865115,123.74989659132015,123.74989659132015,89.96897562995167,90.347402442992,2,NA,1.803123950958252,1
10,1,118,critical,wdh,45,lower,2.1,2.11,57,133,65,65,133,57,1,w,3.0508792400360107,1
10,1,119,critical,dwh,60,upper,3,3.1,100,100,125,200,200,125,3,h,4.067212104797363,1
10,1,120,critical,dhw,45,lower,4,4.1,65,65,133,57,57,133,2,h,3.199587106704712,1
10,1,121,critical,dwh,60,lower,2.1,2.11,55,55,57,133,133,57,2,w,5.817974805831909,1
10,1,122,critical,hdw,45,upper,2.1,2.11,200,125,117,117,125,200,1,h,2.102220058441162,1
10,1,123,filler_square,NA,NA,NA,2.1,2.11,187.81429383977505,187.81429383977505,126.00370605250136,99.1889232772468,65.64899575828672,157.80285269756786,1,NA,1.1750717163085938,1
10,1,124,filler_random,NA,NA,NA,1,1.1,116.6070976777204,73.81358445750931,77.80543556714505,75.3448817200015,70.75455169596916,173.58421409362893,3,NA,1.8466813564300537,1
10,1,125,filler_random,NA,NA,NA,3,3.2,104.99614593131002,78.1826088997036,147.60235148763763,188.27908924699193,83.1839842167134,99.81062306215458,2,NA,1.5849370956420898,1
10,1,126,critical,dwh,45,lower,1,1.2,65,65,57,133,133,57,3,h,1.9861347675323486,1
10,1,127,critical,hdw,60,lower,3,3.2,133,57,55,55,57,133,1,h,1.6561172008514404,1
10,1,128,filler_square,NA,NA,NA,3,3.1,108.20476001771814,108.20476001771814,82.33294581787057,100.26257468734275,74.0944975018354,59.11373403621021,1,NA,1.456895351409912,1
10,1,129,filler_random,NA,NA,NA,2.1,2.12,193.78490283945115,114.0333017144939,198.68618400558347,122.40321454408783,90.27292020255744,113.05526211796922,2,NA,1.475161075592041,1
